THE	BY	HASBEEN	INTO	ONTO	AGT	AGTFOC	BENREC	BENFOC	CAUSAGT	CAUSAGTFOC	COM	COMFOC	EXP	EXPFOC	PAT	PATFOC	PRED	PREDFOC	THM	TID_ON	TID_AT	TID_IN	TID_BY	TID_UNTIL	TID_FREQ	TID_DUR	TID_PT	EXT	EXT_CAUS	LOC_AT	LOC_IN	LOC_ON	LOC	LOCFOC	ACT	ACT_LOC	ACT_CAUS	STAT	ERG	STAT_BODY	STAT_THAT	STAT_TO	STAT_BEN	STAT_CAUS_BENFOC	STAT_CAUS	BEN_STAT_CAUS	PRED_STAT_CAUS	STAT_COM	COMPLEX_CAUS	STAT_EXP	STAT_CAUS_EXP	FINSTAT_CAUS	FINSTAT_PRED_DESC	FINSTAT_AGT	FINSTAT_THM_DESC	FINSTAT_EXP
the	-(e)d by	has been V+ing;	into	onto	7abolition	7abolition is what	7abolition	7abolition is what	7abolition	7abolition is what	7abolition	7abolition is what	7abolition	7abolition is what	7abolition	7abolition is what is	7abolition	7abolition is what	7abdomen	on +ONE'S birthday	at 1:30	in 1 hour	by +ONE'S birthday	until +ONE'S birthday	always	for 1 hour	+ONE'S birthday	7coexists with	7churns out +THM;	7antique shop	7aisle	7airway	7antique shop	7antique shop is where	7bales out	7ascends to +LOC;	7+ERG; hauls	7juggles	7+ERG; aborts	7belches from +LOC;	7acknowledges that	7adores	7can't abide +BENREC;		7concurs +THM;	7can't abide +BENREC;	7conceives of +THM; as +PRED;	7affiliates to +THM;	7commissions +AGT; to	agonizes about +THM;	agonizes +EXP;	aggravating	accident prone	conceited	hauled	achy
the	-(e)d by	has been V+ing;	into	onto	7absentee	7absentee is (the one) who	7absentee	7absentee is (the one) who is	7absentee	7absentee is who	7absentee	7absentee is who	7absentee	7absentee is who	7absentee	7absentee is (the one) who is	7absentee	7absentee is who	7aberration	on birthdays	at 10:30	in 1 minute	by 1:30	until 1:30	Aprils	for 1 minute	1 hour ago	7coexists	7churns +THM; out	7autumn equinox	7amphitheater	7aisle seat	7autumn equinox	7autumn equinox is where	7bales	7ascends +LOC;	7blasts +THM; off	7snarls	7+ERG; filters	7belches out	7assures +BENREC; that	7begrudges	7applauds for +BENREC;		7slams the door in +ONE'S; face	7applauds for +BENREC;	7hails +THM; as +PRED;	7affiliates with +COM;	7leaves +EXP; to stew	agonizes over +THM;	astonishes +EXP;	captivating	amorphous	considerate	scanned	aggrieved
the	-(e)d by	has been V+ing;	into	onto	7abuser	7abuser is (the one) who	7abuser	7abuser is (the one) who is	7abuser	7abuser is who	7abuser	7abuser is who	7abuser	7abuser is who	7abuser	7abuser is (the one) who is	7abuser	7abuser is who	7abolition	on Christmas	at 10am	in 1 year	by 10:30	until 10:30	Augusts	for 1 year	1 minute ago	7compounds	7conducts +THM;	7bazaar	7amphitheatre	7alignment	7bazaar	7bazaar is where	7barges past	7barges into +LOC;	7catapults +THM;	7affiliates	7blazes	7belches	7assures that	7bridles at	7applauds +BENREC;		7alters +THM;	7applauds +BENREC;	7hails as +PRED;	7chatters with +COM;	7lets +EXP; stew	feels the pinch	stinks	distressing	beefier	disobedient	abolished	agonized about
the	-(e)d by	has been V+ing;	into	onto	7ace	7ace is (the one) who	7ace	7ace is (the one) who is	7ace	7ace is who	7ace	7ace is who	7ace	7ace is who	7ace	7ace is (the one) who is	7ace	7ace is who	7abortion		at 10pm	in 10 years	by 10am	until 10am	autumn	for 10 years	1 year ago	7decomposes	7conflates +THM;	7beauty parlour	7antique shop	7autumn equinox	7beauty parlour	7beauty parlour is where	7barges	7barges past +LOC;	7churns up +THM;	7alternates	7blurs	7blisters	7conceives that	7craves for	7bawls at +BENREC;		7alternates between +THM;	7bawls at +BENREC;	7heralds as +PRED;	7+PLURAL; cling together +COM;	7makes&CAUS; +EXP; tick	gets tangled in +THM;	surges in +EXP;	fascinating	beefiest	disrespectful	acknowledged	agonized over
the	-(e)d by	has been V+ing;	into	onto	7acrobat	7acrobat is (the one) who	7acrobat	7acrobat is (the one) who is	7acrobat	7acrobat is who	7acrobat	7acrobat is who	7acrobat	7acrobat is who	7acrobat	7acrobat is (the one) who is	7acrobat	7acrobat is who	7absentee		at 11:30	in 12 hours	by 10pm	until 10pm	dailies	for 12 hours	1:30	7dissipates	7disengages +THM; from	7bnb	7arena	7bleacher	7bnb	7bnb is where	7blasts away	7coasts +LOC;	7churns +THM;	7anchors	7broadens out	7creaks	7conjectures that	7craves	7betrays +BENREC;		7alternates with +THM;	7betrays +BENREC;		7+PLURAL; cling to one another +COM;		keels over	surges up in +EXP;	heartening	beefy	feisty	airier	agonized
the	-(e)d by	has been V+ing;	into	onto	7addict	7addict is (the one) who	7addict	7addict is (the one) who is	7addict	7addict is who	7addict	7addict is who	7addict	7addict is who	7addict	7addict is (the one) who is	7addict	7addict is who	7absorber	on day	at 11am	in 15 minutes	by 11:30	until 11:30	daily	for 15 minutes	10 years ago	7exceeds	7disengages from +THM;	7boxer ring	7armory	7boulevard	7boxer ring	7boxer ring is where	7blasts off	7coasts to +LOC;	7clings to +THM;	7ballots	7broadens	7decays	7contends that	7despairs at	7conceals +THM; from +BENREC;		7assents to +THM;	7conceals +THM; from +BENREC;		7+PLURAL; cling to each other +COM;		submits to +THM;	overwhelms +EXP;	heartfelt	benevolent with	flaky	alleviated	astonished
the	-(e)d by	has been V+ing;	into	onto	7adjuster	7adjuster is (the one) who	7adjuster	7adjuster is (the one) who is	7adjuster	7adjuster is who	7adjuster	7adjuster is who	7adjuster	7adjuster is who	7adjuster	7adjuster is (the one) who is	7adjuster	7adjuster is who	7abstinence	on days	at 11pm	in 2 hours	by 11am	until 11am	every	for 2 hours	10:30	7filters through to	7distills	7canteen	7armoury	7canal	7canteen	7canteen is where	7blasts	7commutes between +LOC; and LOC	7clings onto +THM;	7banquets	7clings together	7defecates	7disbelieves that	7despairs of	7captivates +BENREC;		7belches +THM;	7captivates +BENREC;		7combats +COM;		gets psyched up		mouthwatering	benevolent	forgetful	altered	astounded
the	-(e)d by	has been V+ing;	into	onto	7admiral	7admiral is (the one) who	7admiral	7admiral is (the one) who is	7admiral	7admiral is who	7admiral	7admiral is who	7admiral	7admiral is who	7admiral	7admiral is (the one) who is	7admiral	7admiral is who	7absurdity	on easter	at 12:30	in 2 minutes	by 11pm	until 11pm	everyday	for 2 minutes	10am	7filters through	7equates +THM; to +THM;	7dude ranch	7arsenal	7catwalk	7dude ranch	7dude ranch is where	7bolts down	7commutes from +LOC;	7ejects +THM; from +LOC;	7bawls out	7clings	7deflects	7exclaims that	7despairs	7caricatures +BENREC;		7bawls +THM; out	7caricatures +BENREC;		7+PLURAL; concur with one another		gets tangled up		pitiful	blonde	gay	assured	breathless
the	-(e)d by	has been V+ing;	into	onto	7adolescent	7adolescent is (the one) who	7adolescent	7adolescent is (the one) who is	7adolescent	7adolescent is who	7adolescent	7adolescent is who	7adolescent	7adolescent is who	7adolescent	7adolescent is (the one) who is	7adolescent	7adolescent is who	7academy	on easters	at 12pm	in 2 years	by 12:30	until 12:30	habitually	for 2 years	10pm	7has a pot to piss in	7equates +THM; with +THM;	7eatery	7atrium	7frontier	7eatery	7eatery is where	7bolts	7commutes to +LOC;	7ejects +THM;	7bawls	7clots	7degenerates	7grouses that	7despises +BENREC; for	7convicts +BENREC;		7belies +THM;	7convicts +BENREC;		7+PLURAL; concur with each other		overhears		alienating	bolted upright	opinionated	awash	bummed
the	-(e)d by	has been V+ing;	into	onto	7adopter	7adopter is (the one) who	7adopter	7adopter is (the one) who is	7adopter	7adopter is who	7adopter	7adopter is who	7adopter	7adopter is who	7adopter	7adopter is (the one) who is	7adopter	7adopter is who	7accessibility	on the eighteenth	at 1pm	in 20 years	by 12pm	until 12pm	hardly	for 20 years	11:30	7has a short fuse	7equates +THM;	7hangar	7auditorium	7fronts	7hangar	7hangar is where	7boogies	7deviates from +LOC;	7evaporates +THM;	7bellyaches	7coils	7ears prick up	7grumbles that	7despises	7coos at +BENREC;		7bids for +THM;	7coos at +BENREC;		7concurs with +COM;		overhears +THM;		astonishing	callous	greedy	awash with	delighted
